paper_id,title,first_author,publication_year,journal,doi,document_type,journal_impact_factor_year,journal_impact_factor,journal_quartile,journal_metrics_source,needs_manual_journal_check,relevance_score,extractability_score,journal_quality_score,priority_score,likely_ni_based,likely_contains_conditions,likely_contains_performance,priority_rationale,screening_notes
paper_0220,"Structural Changes of Ni and Ni–Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction Conditions",Enrico Tusini,2024.0,ACS Catalysis,10.1021/acscatal.3c05847,journal_article,2025,13.1,,manual_lookup,no,95,100,100,98.5,yes,yes,yes,期刊IF>=10，期刊质量最高优先；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0101,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,D. Hari Prasad,2010.0,Applied Catalysis B: Environmental,10.1016/j.apcatb.2010.10.026,journal_article,2025,21.1,,manual_lookup,no,85,65,100,88.5,yes,no,yes,期刊IF>=10，期刊质量最高优先；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0221,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",Yi Lin,2025.0,Fuel Processing Technology,10.1016/j.fuproc.2025.108325,journal_article,2025,7.7,,manual_lookup,no,95,100,85,91.0,yes,yes,yes,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0194,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,Kyungpyo Hong,2021.0,Journal of Materials Chemistry A,10.1039/d0ta11359j,journal_article,2025,9.5,,manual_lookup,no,95,100,85,91.0,yes,yes,yes,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0166,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,Vinod Kumar Jaiswar,2017.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2017.06.096,journal_article,2025,8.3,,manual_lookup,no,95,85,85,88.0,yes,yes,yes,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0159,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,Sanjay Katheria,2016.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2016.05.109,journal_article,2025,8.3,,manual_lookup,no,95,85,85,88.0,yes,yes,yes,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0180,Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC,Young Su Noh,2019.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2019.04.287,journal_article,2025,8.3,,manual_lookup,no,95,65,85,84.0,yes,no,yes,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0150,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,Na Young Kim,2015.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2015.06.104,journal_article,2025,8.3,,manual_lookup,no,95,65,85,84.0,yes,no,yes,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0157,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,Xia Yang,2016.0,Fuel,10.1016/j.fuel.2016.03.104,journal_article,2025,7.5,,manual_lookup,no,85,65,85,81.0,yes,no,yes,期刊IF>=6，满足第一批高质量筛选门槛；存在Ni-based信号；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0124,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,Yu Guo,2011.0,Chemical Engineering Journal,10.1016/j.cej.2011.01.036,journal_article,2025,13.2,,manual_lookup,no,75,65,100,85.5,no,no,yes,期刊IF>=10，期刊质量最高优先；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0191,Supported catalysts for induction-heated steam reforming of methane,Canio Scarfiello,2020.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2020.09.262,journal_article,2025,8.3,,manual_lookup,no,75,100,85,85.0,no,yes,yes,期刊IF>=6，满足第一批高质量筛选门槛；更可能包含条件字段；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0202,"Hydrogen production by steam reforming of methane over hollow, bulk, and co-precipitated Ni–Ce–Al2O3 catalysts: Optimization via design of experiments",Maryam Meshksar,2023.0,Journal of the Energy Institute,10.1016/j.joei.2023.101344,journal_article,2025,6.2,,manual_lookup,no,75,65,85,78.0,no,no,yes,期刊IF>=6，满足第一批高质量筛选门槛；更可能包含性能字段,journal_article_candidate_after_auto_screening
paper_0193,Ultracompact methane steam reforming reactor based on microwaves susceptible structured catalysts for distributed hydrogen production,Eugenio Meloni,2020.0,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2020.06.299,journal_article,2025,8.3,,manual_lookup,no,75,65,85,78.0,no,no,yes,期刊IF>=6，满足第一批高质量筛选门槛；更可能包含性能字段,journal_article_candidate_after_auto_screening
