paper_id,doi,title,candidate_url,candidate_source,candidate_source_type,expected_content_type,access_route,is_open_access,institutional_access_possible,source_priority,candidate_priority,source_discovery_method,notes
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://www.sciencedirect.com/science/article/pii/0021-9517(85)90320-3/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,pdf,institutional_access,unclear,yes,85,85,publisher_doi_pattern,ScienceDirect PDF pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,data\raw\pdfs\10.1016_0021-9517_85_90320-3.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,data\raw\pdfs\paper_0007.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,data\raw\pdfs\paper_0007_10.1016_0021-9517_85_90320-3.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,data\raw\pdfs\paper_0007_carbon_deposition_and_methane_steam_reforming_on_silica_supported_ni_z_sbnd_cu_c.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://www.sciencedirect.com/science/article/pii/0021-9517(85)90320-3,sciencedirect,publisher_landing_page,html,publisher_landing,unclear,yes,65,65,publisher_doi_pattern,ScienceDirect landing pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://doi.org/10.1016/0021-9517(85)90320-3,openalex_location,publisher_landing_page,html,publisher_landing,no,unknown,62,62,openalex_live_location,OpenAlex landing_page_url from Journal of Catalysis.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://doi.org/10.1016/0021-9517(85)90320-3,openalex_location,openalex_location,html_or_pdf,unknown,no,unknown,58,58,openalex_raw_metadata,URL from local OpenAlex raw metadata.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/plain,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/plain; intended=text-mining.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/xml,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/xml; intended=text-mining.
